No,PSRJ,ref_psr,RAJ,ra_err,ref_ra,DECJ,dec_err,ref_dec,ra_deg,dec_deg
2693,J1910-5959A,dlm+01,19:11:42.75562,3e-05,cbp+12,-59:58:26.9029,0.0003,cbp+12,287.92814841666666,-59.974139694444446
2694,J1910-5959B,dpf+02,19:10:52.0556,0.0005,cpl+06,-59:59:00.861,0.006,cpl+06,287.71689833333335,-59.9835725
2695,J1910-5959C,dpf+02,19:11:05.5552,0.0004,cpl+06,-60:00:59.700,0.004,cpl+06,287.77314666666666,-60.01658333333334
2696,J1910-5959D,dpf+02,19:10:52.4163,0.0005,cpl+06,-59:59:05.479,0.005,cpl+06,287.71840125,-59.984855277777775
2697,J1910-5959E,dpf+02,19:10:52.1572,0.0006,cpl+06,-59:59:02.087,0.007,cpl+06,287.71732166666663,-59.983913055555554
2698,J1910-5959F,rgf+21,19:10:52.066,0.003,rgf+21,-59:59:09.30,0.03,rgf+21,287.7169416666666,-59.98591666666667
2700,J1911+0101A,dma+93,19:11:11.08957,4e-05,fhn+05,+01:02:09.741,0.002,fhn+05,287.79620654166666,1.0360391666666668
2701,J1911+0101B,fhn+05,19:11:12.5725,0.0004,fhn+05,+01:01:50.44,0.02,fhn+05,287.80238541666665,1.0306777777777778
2702,J1911+0751g,hww+21,19:11:43,6.0,hww+21,+07:51,2.0,hww+21,287.9291666666667,7.85
2703,J1911+0921,lbh+15,19:11:46.487,0.009,psf+22,+09:21:56.8,0.3,psf+22,287.94369583333327,9.365777777777778
2704,J1911+0925,psf+22,19:11:59.472,0.012,psf+22,+09:25:32.2,0.6,psf+22,287.9978,9.425611111111111
2705,J1911+0939g,hww+21,19:11:38,6.0,hww+21,+09:39,2.0,hww+21,287.9083333333333,9.65
2706,J1911+1051,lbh+15,19:11:42.262,0.008,psf+22,+10:51:26.74,0.16,psf+22,287.92609166666665,10.857427777777778
2707,J1911-1114,llb+96,19:11:49.28233,3e-05,dcl+16,-11:14:22.481,0.003,dcl+16,287.95534304166665,-11.239578055555555
2708,J1911+1252g,hww+21,19:11:28,6.0,hww+21,+12:52,2.0,hww+21,287.8666666666667,12.866666666666667
2709,J1911+1301,psf+22,19:11:31.739,0.009,psf+22,+13:01:26.6,0.3,psf+22,287.8822458333333,13.024055555555556
2710,J1911+1336,psf+22,19:11:59.541,0.003,psf+22,+13:36:55.00,0.07,psf+22,287.9980875,13.615277777777777
2711,J1911+1347,fsk+04,19:11:55.2034741,1.4e-06,aab+21a,+13:47:34.35584,3.2e-05,aab+21a,287.9800144754166,13.792876622222222
2712,J1911+1758,nft95,19:11:55.390,0.006,cn95,+17:58:45.79,0.11,cn95,287.9807916666667,17.979386111111108
2713,J1912+0934g,hww+21,19:12:41,6.0,hww+21,+09:34,2.0,hww+21,288.1708333333333,9.566666666666666
2714,J1912-0952,mzl+23,19:12:12.2482,0.0003,mzl+23,-09:52:51.748,0.016,mzl+23,288.0510341666666,-9.881041111111111
2715,J1912+1036,ht75b,19:12:46.33,0.01,lcx02,+10:36:41.6,0.3,lcx02,288.1930416666666,10.611555555555555
2716,J1912+1105g,hww+21,19:12:26,6.0,hww+21,+11:05,2.0,hww+21,288.1083333333333,11.083333333333334
